カテゴリ,ID,名前,レア度,タイプ,コスト(Lv1/2/3),価格,属性,説明
"スキル: 多色変換（2色→1色）","conv_m_ld_h","黄昏の洗礼","1","skill","4","9","heart","雷と月をハートに変換。消費E:4"
"スキル: 複合ペア変換（2色→それぞれ別色へ）","conv_p_harmony","大自然の調和","2","skill","4","15","wood, heart","炎ドロップを風に、雨ドロップをハートに同時に変換する。消費E:4"
"スキル: 複合ペア変換（2色→それぞれ別色へ）","conv_p_reversal","大自然の逆流","2","skill","4","15","fire, water","風ドロップを炎に、ハートドロップを雨に同時に変換する。消費E:4"
"スキル: 複合ペア変換（2色→それぞれ別色へ）","conv_p_chaos","混沌の反転","2","skill","4","15","heart, fire","雷ドロップをハートに、月ドロップを炎に同時に変換する。消費E:4"
"スキル: 複合ペア変換（2色→それぞれ別色へ）","conv_p_order","秩序の光","2","skill","4","15","light, dark","ハートドロップを雷に、炎ドロップを月に同時に変換する。消費E:4"
"スキル: 複合ペア変換（2色→それぞれ別色へ）","conv_p_flux","星光の流転","2","skill","4","15","water, light","炎ドロップを雨に、月ドロップを雷に同時に変換する。消費E:4"
"スキル: 複合ペア変換（2色→それぞれ別色へ）","conv_p_erosion","影月の侵食","2","skill","4","15","fire, dark","雨ドロップを炎に、雷ドロップを月に同時に変換する。消費E:4"
"スキル: 盤面変更（3色）","board_tri_fdw","三色の真理・業水","1","skill","5","9","fire, dark, water","盤面を炎/月/雨に変更。消費E:5"
"スキル: 盤面変更（3色）","board_tri_fdl","三色の真理・炎光","1","skill","5","9","fire, dark, light","盤面を炎/月/雷に変更。消費E:5"
"スキル: 盤面変更（3色）","board_tri_whf","三色の真理・紅蓮","1","skill","5","9","water, heart, fire","盤面を雨/ハート/炎に変更。消費E:5"
"スキル: 盤面変更（3色）","board_tri_whg","三色の真理・蒼木","1","skill","5","9","water, heart, wood","盤面を雨/ハート/風に変更。消費E:5"
"スキル: 盤面変更（3色）","board_tri_gld","三色の真理・神緑","1","skill","5","9","wood, light, dark","盤面を風/雷/月に変更。消費E:5"
"スキル: 盤面変更（3色）","board_tri_glh","三色の真理・天恵","1","skill","5","9","wood, light, heart","盤面を風/雷/ハートに変更。消費E:5"
"スキル: 盤面変更（3色）","board_tri_fwg","三色の真理・天地","1","skill","5","9","fire, water, wood","盤面を炎/雨/風に変更。消費E:5"
"スキル: 盤面変更（3色）","board_tri_ldh","三色の真理・黄昏","1","skill","5","9","light, dark, heart","盤面を雷/月/ハートに変更。消費E:5"
"スキル: 盤面変更（2色）","board_bi_fd","炎月の陣","1","skill","5","10","fire, dark","盤面を炎/月の2色に変更。消費E:5"
"スキル: 盤面変更（2色）","board_bi_wh","蒼海の至宝","1","skill","5","10","water, heart","盤面を雨/ハートの2色に変更。消費E:5"
"スキル: 盤面変更（2色）","board_bi_gl","風雷の陣","1","skill","5","10","wood, light","盤面を風/雷の2色に変更。消費E:5"
"スキル: 盤面変更（2色）","board_bi_wd","雨月の陣","1","skill","5","10","water, dark","盤面を雨/月の2色に変更。消費E:5"
"スキル: 盤面変更（2色）","board_bi_gh","風癒の陣","1","skill","5","10","wood, heart","盤面を風/ハートの2色に変更。消費E:5"
"スキル: 盤面変更（2色）","board_bi_fl","炎雷の陣","1","skill","5","10","fire, light","盤面を炎/雷の2色に変更。消費E:5"
"スキル: 盤面変更（1色）","board_mono1","真・紅蓮の極致","2","skill","6","15","fire","盤面すべてを炎に変更。消費E:6"
"スキル: 盤面変更（1色）","board_mono2","真・閃雷の極致","2","skill","6","15","light","盤面すべてを雷に変更。消費E:6"
"スキル: 盤面変更（1色）","board_mono3","真・蒼海の極致","2","skill","6","15","water","盤面すべてを雨に変更。消費E:6"
"スキル: 盤面変更（1色）","board_mono4","真・深翠の極致","2","skill","6","15","wood","盤面すべてを風に変更。消費E:6"
"スキル: 盤面変更（1色）","board_mono5","真・常月の極致","2","skill","6","15","dark","盤面すべてを月に変更。消費E:6"
"スキル: 盤面変更（1色）","board_mono6","真・生命の極致","2","skill","6","15","heart","盤面すべてをハートに変更。消費E:6"
"スキル: 5属性均等配置","board_bal_5","五行の理","2","skill","5","14","fire, water, wood, light, dark","全ドロップを5属性各6個に変化させる。消費E:5"
"スキル: 行・列固定変換","row_f","烈炎の横一文字","1","skill","4","9","fire","上段をすべて炎に。消費E:4"
"スキル: 行・列固定変換","row_w","清流の横一文字","1","skill","4","9","water","上段をすべて雨に。消費E:4"
"スキル: 行・列固定変換","row_g","深翠の横一文字","1","skill","4","9","wood","上段をすべて風に。消費E:4"
"スキル: 行・列固定変換","row_l","閃雷の横一文字","1","skill","4","9","light","上段をすべて雷に。消費E:4"
"スキル: 行・列固定変換","row_d","常月の横一文字","1","skill","4","9","dark","上段をすべて月に。消費E:4"
"スキル: 行・列固定変換","row_h","生命の横一文字","1","skill","4","9","heart","上段をすべてハートに。消費E:4"
"スキル: 行・列固定変換","row_b_f","烈炎の底陣","1","skill","4","9","fire","下段をすべて炎に。消費E:4"
"スキル: 行・列固定変換","row_c_h","生命の帯","1","skill","4","9","heart","中央行をすべてハートに。消費E:4"
"スキル: 行・列固定変換","col_l_l","閃雷の縦一閃","1","skill","4","9","light","左端列をすべて雷に。消費E:4"
"スキル: 行・列固定変換","col_r_d","常月の縦一閃","1","skill","4","9","dark","右端列をすべて月に。消費E:4"
"スキル: ドロップ強化（1色）","enh_f","星の導き・炎","1","skill","4","10","fire","盤面の炎を全て強化。消費E:4"
"スキル: ドロップ強化（1色）","enh_w","星の導き・雨","1","skill","4","10","water","盤面の雨を全て強化。消費E:4"
"スキル: ドロップ強化（1色）","enh_g","星の導き・風","1","skill","4","10","wood","盤面の風を全て強化。消費E:4"
"スキル: ドロップ強化（1色）","enh_l","星の導き・雷","1","skill","4","10","light","盤面の雷を全て強化。消費E:4"
"スキル: ドロップ強化（1色）","enh_d","星の導き・月","1","skill","4","10","dark","盤面の月を全て強化。消費E:4"
"スキル: ドロップ強化（1色）","enh_h","星の導き・ハート","1","skill","4","10","heart","盤面のハートを全て強化。消費E:4"
"スキル: ドロップ強化（2色）","enh_fd","星の導き・炎月","2","skill","5","14","fire, dark","盤面の炎/月を全て強化。消費E:5"
"スキル: ドロップ強化（2色）","enh_wh","星の導き・雨癒","2","skill","5","14","water, heart","盤面の雨/ハートを全て強化。消費E:5"
"スキル: ドロップ強化（2色）","enh_gl","星の導き・風雷","2","skill","5","14","wood, light","盤面の風/雷を全て強化。消費E:5"
"スキル: ドロップ強化（2色）","enh_wd","星の導き・雨月","2","skill","5","14","water, dark","盤面の雨/月を全て強化. 消費E:5"
"スキル: ドロップ強化（2色）","enh_gh","星の導き・風癒","2","skill","5","14","wood, heart","盤面の風/ハートを全て強化. 消費E:5"
"スキル: ドロップ強化（2色）","enh_fl","星の導き・炎雷","2","skill","5","14","fire, light","盤面の炎/雷を全て強化. 消費E:5"
"スキル: ランダム生成","gen_rand_fire","炎の創造","1","skill","2","5","fire","炎ドロップをランダムに5個生成。消費E:2"
"スキル: ランダム生成","gen_rand_water","雨の創造","1","skill","2","5","water","雨ドロップをランダムに5個生成。消費E:2"
"スキル: ランダム生成","gen_rand_wood","森の創造","1","skill","2","5","wood","風ドロップをランダムに5個生成。消費E:2"
"スキル: ランダム生成","gen_rand_light","雷の創造","1","skill","2","5","light","雷ドロップをランダムに5個生成。消費E:2"
"スキル: ランダム生成","gen_rand_dark","月の創造","1","skill","2","5","dark","月ドロップをランダムに5個生成。消費E:2"
"スキル: ボムドロップ生成","gen_bomb_rand","ボム","1","skill","3/2/1","5","","ランダムなドロップ1つをボムドロップにする。消費E:3/2/1"
"スキル: ボムドロップ生成","conv_bomb_target_fire","炎の火薬","2","skill","4/3/2","9","fire","炎ドロップ1つをボムドロップにする。消費E:4/3/2"
"スキル: ボムドロップ生成","conv_bomb_target_dark","月の火薬","2","skill","4/3/2","9","dark","月ドロップ1つをボムドロップにする。消費E:4/3/2"
"スキル: スカイフォール強化（1色）","sky_f1","紅蓮の目覚め","1","skill","3","9","fire","3手番、炎がかなり落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（1色）","sky_w1","蒼海の目覚め","1","skill","3","9","water","3手番、雨がかなり落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（1色）","sky_g1","深翠の目覚め","1","skill","3","9","wood","3手番、風がかなり落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（1色）","sky_l1","閃雷の目覚め","1","skill","3","9","light","3手番、雷がかなり落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（1色）","sky_d1","常月の目覚め","1","skill","3","9","dark","3手番、月がかなり落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（1色）","sky_h1","癒の目覚め","1","skill","3","9","heart","3手番、ハートがかなり落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（2色）","sky_fd_2","炎月の波紋","1","skill","3","9","fire, dark","2手番、炎と月が落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（2色）","sky_wh_2","蒼海の波紋","1","skill","3","9","water, heart","2手番、雨とハートが落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（2色）","sky_gl_2","風雷の波紋","1","skill","3","9","wood, light","2手番、風と雷が落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（2色）","sky_wd_2","雨月の波紋","1","skill","3","9","water, dark","2手番、雨と月が落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（2色）","sky_gh_2","風癒の波紋","1","skill","3","9","wood, heart","2手番、風とハートが落ちやすくなる。消費E:3"
"スキル: スカイフォール強化（2色）","sky_fl_2","炎雷の波紋","1","skill","3","9","fire, light","2手番、炎と雷が落ちやすくなる. 消費E:3"
"スキル: スカイフォール停止（1色）","sky_f_stop","紅蓮の静寂","1","skill","3","9","fire","2手番、炎が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（1色）","sky_w_stop","蒼海の静寂","1","skill","3","9","water","2手番、雨が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（1色）","sky_g_stop","深翠の静寂","1","skill","3","9","wood","2手番、風が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（1色）","sky_l_stop","閃雷の静寂","1","skill","3","9","light","2手番、雷が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（1色）","sky_d_stop","常月の静寂","1","skill","3","9","dark","2手番、月が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（1色）","sky_h_stop","癒の静寂","1","skill","3","9","heart","2手番、ハートが落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（2色）","sky_fd_stop","炎月の凪","1","skill","3","9","fire, dark","1手番、炎と月が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（2色）","sky_wh_stop","蒼海の凪","1","skill","3","9","water, heart","1手番、雨とハートが落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（2色）","sky_gl_stop","風雷の凪","1","skill","3","9","wood, light","1手番、風と雷が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（2色）","sky_wd_stop","雨月の凪","1","skill","3","9","water, dark","1手番、雨と月が落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（2色）","sky_gh_stop","風癒の凪","1","skill","3","9","wood, heart","1手番、風とハートが落ちてこなくなる。消費E:3"
"スキル: スカイフォール停止（2色）","sky_fl_stop","炎雷の凪","1","skill","3","9","fire, light","1手番、炎と雷が落ちてこなくなる. 消費E:3"
"スキル: スカイフォール色制限","sky_limit","三色の結界","1","skill","4","10","fire, water, wood","3手番、炎/雨/風しか落ちてこなくなる。消費E:4"
"スキル: スカイフォール色制限","sky_limit_ldh","三界の結界","1","skill","4","10","light, dark, heart","3手番、雷/月/ハートしか落ちてこなくなる。消費E:4"
"スキル: リピートドロップ生成","gen_repeat_rand","リピート","1","skill","3","14","","ランダムなドロップ1つをリピートドロップにする。消費E:3"
"スキル: リピートドロップ生成","conv_repeat_water","雨の輪廻","2","skill","4","24","water","ランダムな雨ドロップ2つをリピートドロップにする。消費E:4"
"スキル: リピートドロップ生成","conv_repeat_heart","生命の輪廻","2","skill","4","24","heart","ランダムなハートドロップ2つをリピートドロップにする。消費E:4"
"スキル: スタードロップ生成","gen_star_rand","スター","1","skill","3","15","","ランダムなドロップ5つをスタードロップにする。消費E:3"
"スキル: スタードロップ生成","conv_star_wood","星降る森","2","skill","5","24","wood","風ドロップを全てスタードロップにする。消費E:5"
"スキル: スタードロップ生成","conv_star_light","星降る雷","2","skill","5","24","light","雷ドロップをすべてスタードロップにする。消費E:5"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","move_drop_add_active","カウント追加","2","skill","4","24","fire, water, wood, light, dark, heart","盤面にあるすべてのムーブドロップのカウントを+20する。消費E:4"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","refresh","次元の再編","1","skill","3","5","","盤面を全消去する。消費E:3"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","charge_boost","練気の波動","1","skill","3","9","","他のスキルのエネルギーを[1 / 2 / 3]チャージ。消費E:3"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","time_burst","タイム・バースト","1","skill","3","14","","3ターンの間、操作時間+5秒。消費E:3"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","eternal_moment","エターナル・モーメント","1","skill","3","14","","2ターンの間、操作時間+10秒。消費E:3"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","chronos_master","クロノス・マスター","1","skill","3","14","","1ターンの間、操作時間+20秒。消費E:3"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","active_mult_1","覚醒の鼓動","2","skill","6","15","","3手番、基礎コンボ数が2倍になる。消費E:6"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","active_mult_2","一刃の極意","3","skill","6","26","","1手番、基礎コンボ数が5倍になる。消費E:6"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","seal_of_power","力の封印","3","skill","6","26","","1手番、全エンチャント効果が無効になるが、基礎コンボ数が7倍になる。消費E:6"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","trial","試練","3","skill","6","26","","1手番プラス。使用後1ターン、特殊ドロップ・トークン・エンチャント効果が発動しない。このターンに8コンボ以上すると、ターン終了時に全ドロップがスタープラスリピート化、1ターン全てのトークン効果が2度発動＆確率系トークンの確率が+100%。消費E:6"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","gen_token_s1","一星の招来","1","skill","3","14","","自身以外のランダムな★1トークンを1つ生成する。消費E:3"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","gen_token_s2","二星の招来","2","skill","5","20","","自身以外のランダムな★2トークンを1つ生成する。消費E:5"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","gen_token_s3","三星の代償","3","skill","6","31","","ランダムな★3トークンを1つ生成する。30%の確率で呪いトークンが生成される。消費E:6"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","skill_levelup","飛躍の輝き","2","skill","6","20","","自身以外のランダムなトークンを1つ選び、レベルアップさせる（最大Lv3）。消費E:6"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","active_double_probability","確率の共鳴","2","skill","4","20","","2手番の間、確率系トークンの発動確率を2倍にする。消費E:4"
"スキル: 特殊（時間・倍率・チャージ・再落下・ムーブドロップ）","active_force_trigger","因果の集約","3","skill","5","31","","このターン終了時、全ての確率系トークンを100%発動させる。消費E:5"
"スキル: ターン終了時変換・生成（誓約）","active_turn_end_spawn_f_5","焦熱の誓約","2","skill","3","15","fire","2手番の間、ターン終了時に炎ドロップをランダムに3個生成する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_turn_end_spawn_w_5","波濤の誓約","2","skill","3","15","water","2手番の間、ターン終了時に雨ドロップをランダムに3個生成する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_turn_end_spawn_g_5","薫風の誓約","2","skill","3","15","wood","2手番の間、ターン終了時に風ドロップをランダムに3個生成する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_turn_end_spawn_l_5","迅雷の誓約","2","skill","3","15","light","2手番の間、ターン終了時に雷ドロップをランダムに3個生成する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_turn_end_spawn_d_5","常闇の誓約","2","skill","3","15","dark","2手番の間、ターン終了時に月ドロップをランダムに3個生成する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_turn_end_spawn_h_5","豊穣の誓約","2","skill","3","15","heart","2手番の間、ターン終了時にハートドロップをランダムに3個生成する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_convert_g_f","嵐炎の誓約","2","skill","3","15","wood, fire","3手番の間、ターン終了時に風を炎に変換する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_convert_f_w","炎雨の誓約","2","skill","3","15","fire, water","3手番の間、ターン終了時に炎を雨に変換する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_convert_w_g","雨風の誓約","2","skill","3","15","water, wood","3手番の間、ターン終了時に雨を風に変換する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_convert_d_l","月雷の誓約","2","skill","3","15","dark, light","3手番の間、ターン終了時に月を雷に変換する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_convert_l_d","雷月の誓約","2","skill","3","15","light, dark","3手番の間、ターン終了時に雷を月に変換する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_convert_h_f","生命炎の誓約","2","skill","3","15","heart, fire","3手番の間、ターン終了時にハートを炎に変換する。消費E:3"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_fd_w","業水の流転","2","skill","4","20","water","2手番の間、ターン終了時に炎と月を雨に変換する。消費E:4"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_fd_l","炎雷の流転","2","skill","4","20","light","2手番の間、ターン終了時に炎と月を雷に変換する。消費E:4"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_wh_f","紅蓮の流転","2","skill","4","20","fire","2手番の間、ターン終了時に雨とハートを炎に変換する。消費E:4"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_wh_g","蒼風の流転","2","skill","4","20","wood","2手番の間、ターン終了時に雨とハートを風に変換する。消費E:4"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_gl_d","神緑の流転","2","skill","4","20","dark","2手番の間、ターン終了時に風と雷を月に変換する。消費E:4"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_gl_h","天恵の流転","2","skill","4","20","heart","2手番の間、ターン終了時に風と雷をハートに変換する。消費E:4"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_fw_g","天地の流転","2","skill","4","20","wood","2手番の間、ターン終了時に炎と雨を風に変換する. 消費E:4"
"スキル: ターン終了時変換・生成（誓約）","active_m_conv_ld_h","黄昏の流転","2","skill","4","20","heart","2手番の間、ターン終了時に雷と月をハートに変換する. 消費E:4"
"スキル: 即時ドロップ大量生成（招来）","active_spawn_f_10","烈火の招来","2","skill","4","14","fire","炎ドロップをランダムに10個生成。消費E:4"
"スキル: 即時ドロップ大量生成（招来）","active_spawn_w_10","激流の招来","2","skill","4","14","water","雨ドロップをランダムに10個生成。消費E:4"
"スキル: 即時ドロップ大量生成（招来）","active_spawn_g_10","暴風の招来","2","skill","4","14","wood","風ドロップをランダムに10個生成。消費E:4"
"スキル: 即時ドロップ大量生成（招来）","active_spawn_l_10","雷撃の招来","2","skill","4","14","light","雷ドロップをランダムに10個生成。消費E:4"
"スキル: 即時ドロップ大量生成（招来）","active_spawn_d_10","冥府の招来","2","skill","4","14","dark","月ドロップをランダムに10個生成。消費E:4"
"スキル: 即時ドロップ大量生成（招来）","active_spawn_h_10","癒しの招来","2","skill","4","14","heart","ハートドロップをランダムに10個生成。消費E:4"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","collector","黄金の収集者","1","passive","-","14","","★獲得に必要なコンボ数を[4 / 2 / 1]に短縮。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","time_ext","時の砂","1","passive","-","10","","操作時間を2秒延長。トークン枠を消費しない"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","exchange_star3","神秘の昇華","2","passive","-","26","","所持している星1・星2トークンからランダムに1つを失い、代わりに同じ種類(パッシブ/アクティブ)のランダムな星3トークンを獲得する。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","power_up","力の鼓動","1","passive","-","10","","[2 / 6 / 15]コンボ追加。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","forbidden","禁忌の儀式","2","passive","-","19","","常時落ちコン停止。基礎コンボ数が[2 / 3 / 4]倍になる。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","bargain","商談の極意","1","passive","-","15","","ショップに並ぶセール品（半額）の枠を +[1 / 3 / 5]枠 追加する。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","enchant_boost","魔道の極意","2","passive","-","20","","ショップに並ぶエンチャントの数を[1 / 2 / 3]個増加させる。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","shop_expand","陳列の極意","1","passive","-","20","","ショップに並ぶ通常商品の枠を[1 / 2 / 3]枠拡張する。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","shop_rarity_boost","招福の鈴","1","passive","-","20","","ショップに★2以上のレアトークンが出現しやすくなる。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","skip_master","時短の心得","2","passive","-","15","","報酬倍率を[3 / 5 / 10]倍にする。"
"パッシブ: 汎用ユーティリティ（ショップ・時間・基礎強化）","dual_match","双連の極意","3","passive","-","39","","2つ以上でドロップが消える。コンボ倍率にプラス[0.8 / 1.2 / 1.5]。"
"パッシブ: コンボ倍率（1色）","bonus_1c_fire","炎の連舞","1","passive","-","15","fire","炎を消していると、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: コンボ倍率（1色）","bonus_1c_water","雨の連舞","1","passive","-","15","water","雨を消していると、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: コンボ倍率（1色）","bonus_1c_wood","風の連舞","1","passive","-","15","wood","風を消していると、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: コンボ倍率（1色）","bonus_1c_light","雷の連舞","1","passive","-","15","light","雷を消していると、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: コンボ倍率（1色）","bonus_1c_dark","月の連舞","1","passive","-","15","dark","月を消していると、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: コンボ倍率（1色）","bonus_1c_heart","癒の連舞","1","passive","-","15","heart","ハートを消していると、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: 属性2コンボ倍率","combo2_mult_fire","炎の二重奏","2","passive","-","20","fire","炎ドロップで2コンボ以上すると、基礎コンボ数が[1.5 / 2 / 3]倍される。"
