ID,名前,レア度,価格,効果タイプ,効果値,パラメータ,アイコン,説明
"enc_bonus_dark","月の連舞","3","24","color_multiplier_enc","3","{""color"":""dark""}","animation","月を消しているとコンボ倍率にプラス2。"
"enc_bonus_heart","癒の連舞","3","24","color_multiplier_enc","3","{""color"":""heart""}","animation","ハートを消しているとコンボ倍率にプラス2。"
"magic_echo","魔力反響","3","36","magic_echo","0.5","-","repeat","アクティブスキル使用時、50%の確率でチャージを消費しない。"
"compound_interest","複利の導き","3","30","compound_interest","0.1","-","trending_up","サイクルクリア時、現在の所持スターの10%を追加で獲得する。"
"curse_catalyst","呪力変換","3","36","curse_catalyst","2","-","auto_awesome_motion","所持している「呪いトークン」1つにつき、コンボ倍率にプラス1（累積乗算）。"
"bomb_burst_combo","誘爆の雷管","3","28","bomb_burst_combo","5","-","explosive","ボムドロップが消えた時、追加で5コンボ加算する。"
"accum_technique","技巧の蓄積","3","28","stat_shape_all","2","-","history_edu","「合計特殊消し回数(4個+1列+L字+十字+四角)」20回につき、コンボ加算+2。"
"magic_resonance","魔力共鳴","3","30","stat_skill_use","2","-","record_voice_over","「スキル使用回数」10回につき、全アクティブスキルの消費エネルギー-2。"
"starfall","星呼びの刻印","3","30","starfall","0.1","-","star","落ちコン（スカイフォール）で降ってくるドロップ of 10% がスタードロップになる。"
"double_edged","諸刃の刻印","3","28","double_edged","4","-","exposure","ターン終了時、所持スターを3失うが、そのターンのコンボ倍率にプラス4される。"
"gen_drop_fire","炎生成の刻印","2","20","gen_drop_color","-","{""color"":""fire""}","whatshot","ターン終了時、炎ドロップを1個生成する。"
"gen_drop_water","雨生成の刻印","2","20","gen_drop_color","-","{""color"":""water""}","water_drop","ターン終了時、雨ドロップを1個生成する。"
"gen_drop_wood","風生成の刻印","2","20","gen_drop_color","-","{""color"":""wood""}","air","ターン終了時、風ドロップを1個生成する。"
"gen_drop_light","雷生成 of 刻印","2","20","gen_drop_color","-","{""color"":""light""}","bolt","ターン終了時、雷ドロップを1個生成する。"
"gen_drop_dark","月生成の刻印","2","20","gen_drop_color","-","{""color"":""dark""}","nightlight_round","ターン終了時、月ドロップを1個生成する。"
"gen_drop_heart","癒生成の刻印","2","20","gen_drop_color","-","{""color"":""heart""}","favorite","ターン終了時、ハートドロップを1個生成する。"
"gen_drop_repeat","反響生成の刻印","3","24","gen_drop_repeat","-","-","repeat","ターン終了時、リピートドロップを1個生成する。"
"gen_drop_bomb","爆発生成の刻印","3","24","gen_drop_bomb","-","-","explosive","ターン終了時、ボムドロップを1個生成する。"
"gen_drop_plus","強化生成の刻印","2","22","gen_drop_plus","-","-","add_circle","ターン終了時、プラスドロップを4個生成する。"
"gen_drop_star","星屑生成の刻印","3","26","gen_drop_star","-","-","star_rate","ターン終了時、スタードロップを4個生成する。"
"gen_drop_move","加刻の刻印","3","28","gen_drop_move","-","-","more_time","ターン終了時、ムーブドロップのカウントを7増やす。"
"convert_to_fire","炎化の刻印","2","18","convert_to_color","-","{""color"":""fire""}","whatshot","ターン終了時、20%の確率でランダムなドロップを炎ドロップに変換する。"
"convert_to_water","雨化の刻印","2","18","convert_to_color","-","{""color"":""water""}","water_drop","ターン終了時、20%の確率でランダムなドロップを雨ドロップに変換する。"
"convert_to_wood","風化の刻印","2","18","convert_to_color","-","{""color"":""wood""}","air","ターン終了時、20%の確率でランダムなドロップを風ドロップに変換する。"
"convert_to_light","雷化の刻印","2","18","convert_to_color","-","{""color"":""light""}","bolt","ターン終了時、20%の確率でランダムなドロップを雷ドロップに変換する。"
"convert_to_dark","月化の刻印","2","18","convert_to_color","-","{""color"":""dark""}","nightlight_round","ターン終了時、20%の確率でランダムなドロップを月ドロップに変換する。"
"convert_to_heart","癒化の刻印","2","18","convert_to_color","-","{""color"":""heart""}","favorite","ターン終了時、20%の確率でランダムなドロップをハートドロップに変換する。"
"turn_end_refresh","再編の刻印","3","30","turn_end_refresh","-","-","refresh","ターン終了時、20%の確率で盤面をリフレッシュする（次元の再編と同等）。"
"sort_drop_fire","炎整の刻印","2","22","sort_drop_color","-","{""color"":""fire""}","sort","ターン終了時、70%の確率で炎ドロップを左上から順に整列させる。"
"sort_drop_water","雨整の刻印","2","22","sort_drop_color","-","{""color"":""water""}","sort","ターン終了時、70%の確率で雨ドロップを左上から順に整列させる。"
"sort_drop_wood","風整の刻印","2","22","sort_drop_color","-","{""color"":""wood""}","sort","ターン終了時、70%の確率で風ドロップを左上から順に整列させる。"
"sort_drop_light","雷整の刻印","2","22","sort_drop_color","-","{""color"":""light""}","sort","ターン終了時、70%の確率で雷ドロップを左上から順に整列させる。"
"sort_drop_dark","月整の刻印","2","22","sort_drop_color","-","{""color"":""dark""}","sort","ターン終了時、70%の確率で月ドロップを左上から順に整列させる。"
"sort_drop_heart","癒整の刻印","2","22","sort_drop_color","-","{""color"":""heart""}","sort","ターン終了時、70%の確率でハートドロップを左上から順に整列させる。"
"full_drop_fire","炎天の刻印","3","36","full_drop_color","-","{""color"":""fire""}","brightness_high","ターン終了時、10%の確率で盤面を全て炎ドロップにする。"
"full_drop_water","雨天の刻印","3","36","full_drop_color","-","{""color"":""water""}","cloudy_snowing","ターン終了時、10%の確率で盤面を全て雨ドロップにする。"
"full_drop_wood","嵐天の刻印","3","36","full_drop_color","-","{""color"":""wood""}","cyclone","ターン終了時、10%の確率で盤面を全て風ドロップにする。"
"full_drop_light","震天の刻印","3","36","full_drop_color","-","{""color"":""light""}","thunderstorm","ターン終了時、10%の確率で盤面を全て雷ドロップにする。"
"full_drop_dark","夜天の刻印","3","36","full_drop_color","-","{""color"":""dark""}","dark_mode","ターン終了時、10%の確率で盤面を全て月ドロップにする。"
"full_drop_heart","慈天の刻印","3","36","full_drop_color","-","{""color"":""heart""}","favorite","ターン終了時、10%の確率で盤面を全てハートドロップにする。"
"double_combo_chance","強撃の刻印","3","30","double_combo_chance","-","-","double_arrow","10%の確率で基礎コンボ数を2倍にする。"
